ticker,volume,open,close,high,low,window_start,transactions
O:A250221C00125000,2,17.2,17.2,17.2,17.2,1739250000000000000,1
O:A250221C00140000,2,3.6,3.6,3.6,3.6,1739250000000000000,2
O:A250221C00145000,32,1.95,1.15,1.95,1.15,1739250000000000000,8
O:A250221C00150000,260,0.25,0.3,0.3,0.25,1739250000000000000,35
O:AA250620C00022500,5,15.54,15.54,15.54,15.54,1739250000000000000,1
O:AA250620C00025000,9,14,14,14,14,1739250000000000000,2
O:AA250620C00030000,24,9.7,8.7,9.7,8.7,1739250000000000000,8
O:AA250620C00035000,54,6.12,5.39,6.12,5.39,1739250000000000000,26
O:AA250620C00040000,149,3.02,3.14,3.61,3.02,1739250000000000000,39
O:AA250620C00045000,100,1.61,1.7,2.15,1.61,1739250000000000000,7
O:AA250620C00050000,36,0.86,0.9,1.02,0.86,1739250000000000000,8
O:AA250620C00055000,53,0.37,0.55,0.55,0.37,1739250000000000000,3
O:AA250620P00025000,1,0.4,0.4,0.4,0.4,1739250000000000000,1
O:AA250620P00030000,10,1.08,1.15,1.2,1.08,1739250000000000000,6
O:AA250620P00035000,53,2.62,2.59,2.86,2.59,1739250000000000000,15
O:AA250620P00040000,75,5.08,5.21,5.23,5.08,1739250000000000000,6
O:AA250718C00035000,102,6.15,6.08,6.35,5.95,1739250000000000000,8
O:AA250718C00040000,125,3.75,3.55,3.95,3.55,1739250000000000000,11
O:AA250718C00050000,12,1.44,1.24,1.44,1.22,1739250000000000000,3
O:AA250718C00055000,1,0.65,0.65,0.65,0.65,1739250000000000000,1
O:AA250718P00030000,470,1.26,1.4,1.4,1.26,1739250000000000000,23
O:AA250718P00035000,3,3.03,3.03,3.03,3.03,1739250000000000000,1
O:AA250718P00040000,2,5.7,5.7,5.7,5.7,1739250000000000000,1
O:AA250919C00030000,2,10.25,10.25,10.25,10.25,1739250000000000000,1
O:AA250919C00035000,2,7.22,6.75,7.22,6.75,1739250000000000000,2
O:AA250919C00040000,7,4.5,4.35,4.75,4.35,1739250000000000000,5
O:AA250919C00045000,35,3,2.75,3.35,2.75,1739250000000000000,11
O:AA250919C00050000,9,1.82,1.82,1.95,1.82,1739250000000000000,4
O:AA250919C00055000,33,1.27,1.21,1.27,1.2,1739250000000000000,3
O:AA250919C00065000,6,0.45,0.68,0.68,0.45,1739250000000000000,2
O:AA250919P00020000,18,0.3,0.3,0.3,0.3,1739250000000000000,3
O:AA250919P00022500,18,0.46,0.46,0.46,0.46,1739250000000000000,3
O:AA250919P00025000,1,0.75,0.75,0.75,0.75,1739250000000000000,1
O:AA250919P00030000,3,1.79,1.77,1.79,1.77,1739250000000000000,2
O:AA250919P00035000,21,3.28,3.55,3.65,3.28,1739250000000000000,9
O:AA260116C00015000,1,23.45,23.45,23.45,23.45,1739250000000000000,1
O:AA260116C00020000,3,18.5,18.5,18.5,18.5,1739250000000000000,1
O:AA260116C00035000,33,8.1,8.1,8.48,7.72,1739250000000000000,5
O:AA260116C00040000,307,6.1,5.74,6.5,5.74,1739250000000000000,58
O:AA260116C00045000,91,4.15,4.25,4.4,4.15,1739250000000000000,30
O:AA260116C00050000,9,2.72,3.04,3.14,2.72,1739250000000000000,4
O:AA260116C00055000,8,2.27,2.26,2.27,2.26,1739250000000000000,3
